ID;r1;r2;r3;r4;rb4;r5;r6;r7;r8;r9;psymp;pcrit;pdeath;influx;Iainit;procentmeas;influx_start;treat1;treat2;treat3;treat4;treat5;treat6;treat7;treat8;treat9;treat10;treat11;treat12;treat13;treat14;treat15;treat16;treat17;treat18;treat19;treat20;treat21;treat22;treat23;treat24;treat25;treat26;blockeff_r2;powcrit;death_exp1;death_exp2;death_exp3;death_exp4;death_exp5;death_exp6;death_exp7;death_exp8;death_exp9;death_exp10;death_exp11;death_exp12;death_exp13;death_exp14;death_exp15;death_exp16;crit_exp1;crit_exp2;crit_exp3;crit_exp4;crit_exp5;crit_exp6;crit_exp7;crit_exp8;crit_exp9;crit_exp10;crit_exp11;crit_exp12;crit_exp13;crit_exp14;crit_exp15;crit_exp16;spdeath;death_date1;death_date2;death_date3;death_date4;death_date5;death_date6;death_date7;death_date8;death_date9;death_date10;death_date11;death_date12;death_date13;death_date14;death_date16;death_date15;crit_date1;crit_date2;crit_date3;crit_date4;crit_date5;crit_date6;crit_date7;crit_date8;crit_date9;crit_date10;crit_date11;crit_date12;crit_date13;crit_date14;crit_date15;crit_date16;date_treat1;date_treat2;date_treat3;date_treat4;date_treat5;date_treat6;date_treat7;date_treat8;date_treat9;date_treat10;date_treat11;date_treat12;date_treat13;date_treat14;date_treat15;date_treat16;date_treat17;date_treat18;date_treat19;date_treat20;date_treat21;date_treat22;date_treat23;date_treat24;date_treat25;date_treat26;Iamuinit;date_mu;virt_par
1;1,126065923;1,213940117;0,272575277;0,640165485;0,453607542;0,941513712;0,186159505;0,157890711;0,104481696;0,111609452;0,5;0,15069911;0,2;1892,999738;50;0,5;0;0,582534971;0,1426603;0,272137816;0,13801341;0,178553011;0,187070549;0,108431223;0,176305029;0,160546672;0,467570035;0,181515276;0,273696824;0,199606824;0,272260008;0,377011351;0,238;0,210089582;0,216;0,272;0,238780747;0,12;0,42;0,15;0,19;0,23;0,23;0,386171763;1;2,064135512;2,064135512;1,856310119;0,7066654;0,284668953;0,37294397;0,139640483;0,488798149;0,299116179;0,710385946;1,196344362;1,45;2,19204799;2,5;1,140442031;1,140442031;0,978490629;2;2,507788767;1,25;0,85;0,332001354;0,313446653;0,3;0,25;0,32;0,4;0,45;0,75;0,74;0,6;0,6;0,1;24,35448536;49,59997274;64,66395135;94,78948499;148,0922371;168,943435;153,6342049;189,2489315;215,6445837;239,8534069;258,6582586;279,3080693;297,7509517;346,1680573;12;12;15,8271505;25,51555253;64,4644076;93,45525217;102,0297383;139,0195289;216,6939987;197,6948661;229,4443131;236,3060265;247,7087644;284,0167592;298,3397106;293,4102863;20;20;1;1;1;24,60279533;50,38101794;1;1;1;79,06009951;92,74499941;101,4200532;118,6806825;159,6639643;177,5797454;210,5467088;228,8766935;1;251,969936;266,6344461;271,4515423;1;293,6988246;306,7501177;1;1;1;4000;7;0,901144816
2;1,183944126;1,213940117;0,274308063;0,686728989;0,45862973;1,077471176;0,1827561;0,197112095;0,102174811;0,112243287;0,5;0,120092123;0,392774299;791,2026325;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,277428139;1;1,184;2,683376166;2,413203155;0,91866502;0,370069639;0,484827161;0,181532628;0,635437593;0,388851033;0,92350173;0,528;0,78;0,54;0,54;0,54;0,54;0,948985544;1,660475349;1,662956551;1,237927969;0,949532075;0,7665194;0,386282661;0,290304698;0,295645189;0,333080209;0,249542997;0,249542997;0,249542997;0,249542997;0,249542997;0,249542997;0,01690952;22,31049015;16,66735669;19,56090011;28,29554876;22,38410049;18,98487504;15,94417926;24,99640497;12,84968986;20,39003067;20,39003067;23;23;23;23;23;11,50548213;19,67628363;39,05287817;26,05200768;20,81638502;15,40335053;17,17601725;18,56495417;20,07689646;20,07689646;18,01479805;35;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
3;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
5;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
7;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
9;1,603167439;0,690537419;0,270320091;0,697185806;0,293788199;1,105946385;0,169732973;0,198723638;0,139940257;0,094953267;39,46926338;0,078990622;0,138448125;67,72398074;0;0,50600097;0,146726543;0,60995659;0,119832774;0,090405014;0,102351152;0,091700698;0,300329621;0,060761416;0,038849735;0,060150792;0,820112887;0,03423348;0,21834579;0,148629852;0,214872525;0,29630096;0,187180101;0,151480568;0,200848634;0,207305545;0,201555535;0,06775476;0,227043536;0,09383947;0,130349409;0,22;0,22;0,250068386;0,622511983;2,144320938;1,990086291;1,01862698;2,552063793;1,495524075;1,194544638;0,765661761;0,393809012;0,30197198;0,524775214;0,904197093;1,002993189;1,76454459;2,65;2,7;2,828875291;0,916617214;3,526972026;2,363318881;1,739333461;2,506582202;1,281939485;0,714369347;0,924489119;0,518814655;0,596804195;0,655688784;0,63;0,87;1,6;1,3;1,17;0,057672746;30,89002132;51,07028213;74,36558407;96,1923671;123,9826153;152,5860822;174,2184339;207,2955804;214,178288;242,4756587;259,9458346;273,0451146;292,6360517;317,111833;12;340,1259807;19,92710984;37,45485328;67,37109492;91,9749145;120,4057789;144,948306;177,8851974;194,9036473;209,3666067;223,150969;239,0160268;270,7398444;298,5775466;320,5689887;354,0410281;20;1;1;1;29,39515018;40,6390656;1;1;1;74,91151785;91,63336298;99,36133531;118,4476815;164,6298744;176,0544779;213,7069464;230,7239035;1;251,7769477;259,676198;263,9607909;1;289,3932419;302,5492585;316,1166797;342,0214999;1;4000;343,4951311;0,953741094
10;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,2;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
11;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
12;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
13;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
15;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
16;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
17;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
