ID;r1;r2;r3;r4;rb4;r5;r6;r7;r8;r9;psymp;pcrit;pdeath;influx;Iainit;procentmeas;influx_start;treat1;treat2;treat3;treat4;treat5;treat6;treat7;treat8;treat9;treat10;treat11;treat12;treat13;treat14;treat15;treat16;treat17;treat18;treat19;treat20;treat21;treat22;treat23;treat24;treat25;treat26;treat27;treat28;blockeff_r2;powcrit;death_exp1;death_exp2;death_exp3;death_exp4;death_exp5;death_exp6;death_exp7;death_exp8;death_exp9;death_exp10;death_exp11;death_exp12;death_exp13;death_exp14;death_exp15;death_exp16;death_exp17;crit_exp1;crit_exp2;crit_exp3;crit_exp4;crit_exp5;crit_exp6;crit_exp7;crit_exp8;crit_exp9;crit_exp10;crit_exp11;crit_exp12;crit_exp13;crit_exp14;crit_exp15;crit_exp16;crit_exp17;spdeath;death_date1;death_date2;death_date3;death_date4;death_date5;death_date6;death_date7;death_date8;death_date9;death_date10;death_date11;death_date12;death_date13;death_date14;death_date15;death_date16;death_date17;crit_date1;crit_date2;crit_date3;crit_date4;crit_date5;crit_date6;crit_date7;crit_date8;crit_date9;crit_date10;crit_date11;crit_date12;crit_date13;crit_date14;crit_date15;crit_date16;crit_date17;date_treat1;date_treat2;date_treat3;date_treat4;date_treat5;date_treat6;date_treat7;date_treat8;date_treat9;date_treat10;date_treat11;date_treat12;date_treat13;date_treat14;date_treat15;date_treat16;date_treat17;date_treat18;date_treat19;date_treat20;date_treat21;date_treat22;date_treat23;date_treat24;date_treat25;date_treat26;date_treat27;date_treat28;Iamuinit;date_mu;mur;virt_par
1;1,191290251;1,213940117;0,271489244;0,63563148;0,455750512;0,943636216;0,186042919;0,159182679;0,104499441;0,111127491;0,5;0,076077823;0,117932479;3125,710234;50;0,5;0;0,679863426;0,146356243;0,210695342;0,132604395;0,170508628;0,199185997;0,109453514;0,176809627;0,165759999;0,431928575;0,143760347;0,270913614;0,191935468;0,253714717;0,358524545;0,25;0,199;0,214;0,26;0,251244331;0,118040297;0,415188305;0,152776146;0,18;0,24;0,21;0,23;0,23;0,376985743;1;2,409938807;3,618080497;1,930147981;0,745912298;0,29467401;0,397177505;0,1418786;0,475472481;0,313144246;0,642845185;1,388723477;1,643385292;2,541210588;2,7;3,4;1,7;1,9;1,061179644;2,485387892;2,239965503;1,215241736;0,886189953;0,338322951;0,338694053;0,305336683;0,237511938;0,331297789;0,390894839;0,418150601;0,637755384;0,65;0,93;0,6;0,65;0,044668468;24,35448536;49,59997274;64,66395135;94,78948499;148,0922371;168,943435;153,6342049;189,2489315;215,6445837;239,8534069;258,6582586;279,3080693;297,7509517;346,1680573;12;12;12;15,8271505;25,51555253;64,4644076;93,45525217;102,0297383;139,0195289;216,6939987;197,6948661;229,4443131;236,3060265;247,7087644;284,0167592;298,3397106;293,4102863;20;20;20;1;1;1;24,60279533;50,38101794;1;1;1;79,06009951;92,74499941;101,4200532;118,6806825;159,6639643;177,5797454;210,5467088;228,8766935;1;251,969936;266,6344461;271,4515423;1;293,6988246;306,7501177;1;1;1;1;1;0,05263158;328;1,6;1
2;1,183944126;1,213940117;0,274308063;0,686728989;0,45862973;1,077471176;0,1827561;0,197112095;0,102174811;0,112243287;0,5;0,120092123;0,392774299;791,2026325;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,277428139;1;1,184;2,683376166;2,413203155;0,91866502;0,370069639;0,484827161;0,181532628;0,635437593;0,388851033;0,92350173;0,528;0,78;0,54;0,54;0,54;0,54;0,54;0,948985544;1,660475349;1,662956551;1,237927969;0,949532075;0,7665194;0,386282661;0,290304698;0,295645189;0,333080209;0,249542997;0,249542997;0,249542997;0,249542997;0,249542997;0,249542997;0,249542997;0,01690952;22,31049015;16,66735669;19,56090011;28,29554876;22,38410049;18,98487504;15,94417926;24,99640497;12,84968986;20,39003067;20,39003067;23;23;23;23;23;23;11,50548213;19,67628363;39,05287817;26,05200768;20,81638502;15,40335053;17,17601725;18,56495417;20,07689646;20,07689646;18,01479805;35;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
3;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
5;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
7;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
9;1,602846053;0,690537419;0,270344551;0,697329545;0,293458832;1,108545744;0,169788777;0,198485313;0,139937711;0,094830153;39,46926338;0,07932072;0,138335842;67,71913964;0;0,507911934;0,146726543;0,608423569;0,120636701;0,090338199;0,102699544;0,090986937;0,301648028;0,06056098;0,038751219;0,060420853;0,820299609;0,034222141;0,218972217;0,148901058;0,213776945;0,29719348;0,185492772;0,15128047;0,200518069;0,206593088;0,201937863;0,067466267;0,228325085;0,094161679;0,13116871;0,085;0,195;0,15;0,15;0,249474414;0,622511983;2,154992742;1,985541056;1,013647961;2,557017771;1,499748174;1,185909837;0,763918583;0,397675697;0,300110673;0,527709353;0,909854772;0,99614512;1,758253638;2,666441226;2,4;2,4;2,4;0,917245625;3,529562317;2,361453056;1,732024227;2,50279663;1,288455931;0,711151566;0,920729532;0,519439321;0,595502076;0,652706351;0,629955819;0,869329782;1,596274922;1,100461323;1,135514925;1,135514925;0,057215778;30,90891941;51,18631429;73,51454193;95,94060059;125,0346158;152,6013938;173,8717795;207,3048739;213,8639161;242,5472366;257,7542811;271,5714502;292,4936698;317,031268;12;343,6052943;343,6052943;19,966621;37,00543246;66,84749294;92,60938;119,6372093;145,0729485;177,5353695;195,5437198;207,4752969;223,5986894;238,2383296;272,0927431;299,0127665;322,5482644;341,8851837;20;20;1;1;1;29,09924184;41,01477468;1;1;1;75,55334765;92,47986526;98,68741118;118,2575153;164,5077151;175,4946899;213,6438794;230,9587756;1;252,2303558;260,166253;263,306966;1;289,337971;303,0792423;315,7061396;332,9230978;332,9230978;332,9230978;1;0,05263158;328;1,65;1
10;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,2;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
11;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
12;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
13;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
15;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
16;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
17;1,1349346;0,839523249;0,28968262;0,696638388;0,396892852;1,080019315;0,179196308;0,218566933;0,124569564;0,107736162;0,5;0,115395872;0,341589082;24,76141728;0;0,5;0;0,550202823;0,111103595;0,278355016;0,156606814;0,206587785;0,180510593;0,138799535;0,213899758;0,170971454;0,485887337;0,144966917;0,31386917;0,20143937;0,286971949;0,367572663;0,276063413;0,212333613;0,222731111;0,311991159;0,231259021;0,205414368;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,246762257;0,292121797;1;1,676352746;1,59552934;1,661584744;0,657952904;0,767632762;0,214351973;0,67;0,5;0,83;0,88;0,72;0,72;0,72;0,72;0,72;0,72;0,72;1,148633693;1,974621551;0,956647215;1,644311397;1,690158541;0,977209922;0,560324077;0,538934913;0,630839083;0,67;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,018030935;25,02895854;19,37314427;19,43609366;45,95759237;20,3508914;17;17;23;19,1038151;19;19;23;23;23;23;23;23;18,50897798;23,50294212;35,52708537;30,53458145;25,87667284;20,65449885;18,88470657;21;20;20;15;35;9;9;9;9;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
